speaks/VBZ	(speaks,1) (root,1) (VBZ,1) 
torn/VBN	(torn,1) (VBN,1) (root,1) 
her/PRP$	(VBN,1) (cut,1) (nmod:poss,1) (work,1) (VB,2) (had?I,1) (NNS,1) (ccomp,1) (PRP$,1) (her,1) (root,1) (advcl,1) (nmod:on,1) (attempts,1) 
spacecraft/NN	(NN,2) (JJ,1) (spacecraft,1) (planet,1) (root,1) (capable,1) (amod,1) (nsubj,1) 
grudges/NNS	(grudges,1) (NNS,2) (root,1) (thousands,1) (compound,1) 
Then/RB	(RB,1) (advmod,1) (root,1) (Then,1) (becomes,1) (VBZ,1) 
thousands/NNS	(NNS,1) (root,1) (thousands,1) 
earth/NN	(NN,2) (see,1) (nmod:of,1) (root,1) (earth,1) (parataxis,1) (inch,1) (VB,1) (dobj,1) (becomes,1) (VBZ,1) 
us/PRP	('',1) (asked,1) (root,1) (VBD,1) (VBG,1) (dobj,1) (xcomp,1) (us,1) (PRP,1) 
activity/NN	(NN,2) (activity,1) (nmod:of,1) (root,1) (bustle,1) 
psychotic/JJ	(zero,1) (NN,1) (JJ,1) (VBP,1) (root,1) (killer,1) (nsubj,1) (amod,1) (psychotic,1) 
old/JJ	(NN,1) (JJ,1) (problem,1) (old,1) (root,1) (acl,1) 
''/VBG	('',1) (root,1) (VBG,1) 
as/IN	(as,1) (IN,1) (could,1) (MD,1) (root,1) (mark,1) 
beat/VB	(root,1) (beat,1) (dry,1) (advcl,1) (VB,2) 
one/NN	(zero,1) (NN,1) (VBP,1) (root,1) (one,1) (dep,1) 
whittling/VBG	(NN,1) (acl:relcl,1) (whittling,1) (kook,1) (refused,1) (root,1) (VBD,1) (VBG,1) (xcomp,1) 
Eden/NNP	(NNP,1) (root,1) (Eden,1) (xcomp,1) (becomes,1) (VBZ,1) 
pile/NN	(NN,1) (pile,1) (root,1) 
drowning/VBG	(VBP,1) (root,1) (VBG,1) (drowning,1) (send,1) (dep,1) 
thinks/VBZ	(NN,1) (root,1) (thinks,1) (dep,1) (hand,1) (VBZ,1) 
crushed/JJ	(remember,1) (JJ,1) (NNS,1) (ccomp,1) (emeralds,1) (root,1) (Do,1) (VB,2) (dobj,1) (amod,1) (crushed,1) 
when/WRB	(NN,1) (JJ,1) (advmod,1) (WRB,1) (root,1) (right,1) (amod,1) (when,1) (hand,1) 
laughed/VBD	(ccomp,1) (root,1) (laughed,1) (VBD,2) (killed,1) 
Japanese/JJ	(NN,2) (JJ,1) (steel,1) (nmod:of,1) (pile,1) (root,1) (amod,1) (Japanese,1) 
consuming/VBG	(consuming,1) (root,1) (pour,1) (VBG,1) (VB,1) (xcomp,1) 
lived/VBD	(root,1) (VBD,2) (lived,1) (conj:and,1) (killed,1) 
*/VBG	(think,1) (VBP,1) (root,1) (*,1) (VBG,1) (advcl,1) 
voice/NN	(voice,1) (NN,1) (accented,1) (root,1) (VBD,1) (nsubj,1) 
Way/NNP	(NNP,1) (nmod:across,1) (root,1) (pour,1) (VB,1) (Way,1) 
designed/VBN	(NN,1) (acl:relcl,1) (ccomp,1) (VBN,1) (seemed,1) (root,1) (VBD,1) (cohesion,1) (VB,1) (dobj,1) (designed,1) (enhance,1) 
hell/NN	(call,1) (DT,1) (NN,1) (that,1) (root,1) (VB,1) (nsubj,1) (hell,1) (dep,1) 
that/IN	(that,1) (ccomp,1) (IN,1) (Fool,1) (root,1) (makes,1) (VB,1) (mark,1) (VBZ,1) 
Richardson/VBZ	(Richardson,1) (root,1) (VBZ,1) 
accented/VBD	(accented,1) (root,1) (VBD,1) 
overcast/JJ	(NN,2) (acl:relcl,1) (JJ,1) (steel,1) (glinted,1) (overcast,1) (nmod:of,1) (pile,1) (root,1) (VBD,1) (advcl,1) 
methods?The/JJ	(remember,1) (JJ,1) (NNS,1) (ccomp,1) (emeralds,1) (methods?The,1) (root,1) (Do,1) (VB,2) (dobj,1) (amod,1) 
accomplish/VB	(NN,1) (accomplish,1) (root,1) (time,1) (acl,1) ('s,1) (nsubj,1) (VB,1) (VBZ,1) 
part/NN	(NN,1) (VBP,1) (root,1) (part,1) (VBG,1) (drowning,1) (dobj,1) (send,1) (dep,1) 
Newfound/NNP	(Newfound,1) (NNP,1) (root,1) (VB,1) (nsubj,1) (make,1) 
off/RP	(had?I,1) (VBN,1) (cut,1) (ccomp,1) (compound:prt,1) (root,1) (VB,1) (off,1) (RP,1) 
