zoomed/VBN	(VBN,1) (root,1) (zoomed,1) 
game/NN	(NN,1) (grounds,1) (making,1) (NNS,1) (game,1) (root,1) (VBD,1) (nmod:to,1) (VBG,1) (said,1) (compound,1) (xcomp,1) 
accident/NN	(listening,1) (NN,1) (VBN,1) (picked,1) (nmod:by,1) (root,1) (VBG,1) (advcl,1) (accident,1) 
stands/NNS	(stands,1) (NNS,1) (ccomp,1) (nmod:in,1) (waiting,1) (root,1) (VBD,1) (pinched,1) (VBG,1) (check,1) (VB,1) (xcomp,1) 
rest/NN	(NN,1) (rest,1) (root,1) (go,1) (VB,1) (dobj,1) 
n't/RB	(listening,1) (RB,1) (neg,1) (root,1) (VBG,1) (n't,1) 
plummeting/VBG	(root,1) (VBG,1) (plummeting,1) 
eggs/NNS	(eggs,1) (NNS,1) (root,1) (VBD,1) (had,1) (nsubj,1) 
chairs/NNS	(silk,1) (NN,2) (falling,1) (VBN,1) (nmod:of,1) (nmod:around,1) (dressed,1) (acl,1) (appos,1) (NNS,2) (skirts,1) (nmod:in,1) (root,1) (dresses,1) (chairs,1) (VBG,1) 
threw/VB	(threw,1) (root,1) (VBD,1) (advcl,1) (VB,1) (ran,1) 
means/VBZ	(NN,1) (acl:relcl,1) (think,1) (means,1) (VBN,1) (nmod:after,1) (root,1) (advcl,1) (VB,1) (everything,1) (done,1) (VBZ,1) 
've/VBP	(found,1) (VBN,1) (VBP,1) (aux,1) ('ve,1) (root,1) 
steamy/JJ	(JJ,2) (steamy,1) (root,1) (conj:and,1) (hot,1) 
It/PRP	(JJ,1) (root,1) (It,1) (nsubj,1) (long,1) (PRP,1) 
step/NN	(NN,2) (edge,1) (asked,1) (nmod:of,1) (root,1) (VBD,2) (step,1) (squished,1) (nmod:on,1) (dep,1) 
assured/VBD	(root,1) (assured,1) (VBD,1) 
few/JJ	(JJ,1) (watched,1) (NNS,1) (minutes,1) (root,1) (VBD,1) (few,1) (nmod:for,1) (amod,1) 
They/PRP	(root,1) (VBD,1) (nsubj,1) (ran,1) (They,1) (PRP,1) 
gave/VBD	(root,1) (gave,1) (VBD,1) 
snots/NNS	(NNS,1) (root,1) (gave,1) (VBD,1) (snots,1) (dobj,1) 
