arm/NN	(NN,1) (touched,1) (startled,1) (root,1) (VBD,2) (advcl,1) (dobj,1) (arm,1) 
order/NN	(NN,1) (get,1) (root,1) (VB,1) (dobj,1) (order,1) 
front/VBG	(stopped,1) (root,1) (VBD,1) (VBG,1) (parataxis,1) (front,1) 
doing/VBG	(doing,1) (ccomp,1) (Hermione,1) (root,1) (VBG,1) (VB,1) 
both/DT	(JJ,1) (DT,1) (NNP,1) (advmod,1) (walked,1) (Hermione,1) (root,1) (VBD,1) (insane,1) (parataxis,2) (both,1) 
written/VBN	(ccomp,1) (VBN,1) (VBP,1) (root,1) (know,1) (advcl,1) (written,1) (seems,1) (VBZ,1) 
blushed/VBD	(root,1) (VBD,1) (blushed,1) 
style/NN	(NN,1) (ccomp,1) (VBP,1) (root,1) (know,1) (style,1) (nsubj,1) (seems,1) (VBZ,1) 
thinking/VBG	(root,1) (VBG,1) (thinking,1) 
opportunity/NN	(NN,1) (nmod:as,1) (take,1) (root,1) (opportunity,1) (VB,1) 
returned/VBD	(explain,1) (root,1) (VBD,1) (conj:and,1) (VB,1) (returned,1) 
home/NN	(NN,2) (VBN,1) (ccomp,1) (root,1) (insisted,1) (nmod:to,1) (burrow,1) (VB,1) (return,1) (appos,1) (home,1) 
where/WRB	(explain,1) (advmod,1) (VBN,1) (WRB,1) (root,1) (VBD,1) (advcl,1) (where,1) (conj:and,1) (grown,1) (VB,1) (returned,1) 
lopsided/JJ	(grin,1) (NN,1) (JJ,1) (looked,1) (nmod:with,1) (root,1) (lopsided,1) (VBD,1) (amod,1) 
best/JJS	(JJS,1) (VBN,1) (root,1) (best,1) (dobj,1) (done,1) 
hell/NN	(JJ,1) (NN,1) (root,1) (nsubj,1) (hell,1) (wrong,1) 
that/IN	(that,1) (VBN,1) (ccomp,1) (IN,1) (root,1) (insisted,1) (VB,1) (return,1) (mark,1) 
said/VBD	(went,1) (root,1) (VBD,2) (conj:and,1) (said,1) 
potion/NN	(NN,2) (dose,1) (potion,1) (nmod:of,1) (root,1) (VBD,1) (dobj,1) (got,1) 
RON/NNP	(NN,1) (RON,1) (NNP,1) (indignantly,1) (root,1) (dep,1) 
Harry/NNP	(nodded,1) (NNP,1) (Harry,1) (root,1) (VBD,1) (nsubj,1) 
Oh/NNP	(NNP,2) (VBP,1) (root,1) (Oh,1) (nsubj,1) (compound,1) (Merlin,1) (sit,1) 
quill/NN	(NN,1) (took,1) (nmod:with,1) (root,1) (VBD,1) (quill,1) 
Healer/NNP	(NNP,2) (Johnson,1) (root,1) (Healer,1) (compound,1) 
time/NN	(sleep,1) (NN,1) (get,1) (root,1) (brooded,1) (VBD,1) (advcl,1) (time,1) (VB,2) (dobj,1) (xcomp,1) 
began/VBD	(named,1) (ccomp,1) (began,1) (root,1) (VBD,2) 
fully/RB	(RB,1) (advmod,1) (VBN,1) (ccomp,1) (recover,1) (root,1) (insisted,1) (advcl,1) (VB,2) (return,1) (fully,1) 
exercise/NN	(NN,1) (root,1) (thank,1) (exercise,1) (VB,1) (nmod:for,1) 
pretty/RB	(JJ,1) (RB,1) (advmod,1) (pretty,1) (root,1) (brash,1) 
these/DT	(these,1) (DT,1) (NNS,1) (det,1) (thought,1) (nmod:about,1) (root,1) (words,1) (VBD,1) 
since/IN	(NN,2) (woman,1) (IN,1) (nmod:since,1) (root,1) (case,1) (stay,1) (since,1) 
