was/VBD	(root,1) (was,1) (VBD,1) 
sometimes/RB	(acl:relcl,1) (RB,1) (Turtle,1) (NNP,1) (advmod,1) (root,1) (sometimes,1) (VBD,1) (choked,1) 
like/IN	(like,1) (IN,1) (root,1) (VBD,1) (nmod:to,1) (said,1) (herself,1) (case,1) (PRP,1) 
Was/VBD	(VBN,1) (permitted,1) (root,1) (auxpass,1) (Was,1) (VBD,1) 
weeks/NNS	(NNS,1) (weeks,1) (nmod:tmod,1) (root,1) (VBD,1) (had,1) 
A/DT	(nmod:than,1) (DT,1) (MORE,1) (NNP,1) (A,1) (det,1) (JJR,1) (HIGH,1) (PERSONS,1) (root,1) (xcomp,1) (VBZ,1) 
hear/VB	(ccomp,2) (Come,1) (added,1) (root,1) (VBD,1) (VB,2) (hear,1) 
table/NN	(NN,2) (nmod:at,1) (nmod:of,1) (root,1) (sat,1) (VBD,2) (end,1) (conj:and,1) (said,1) (table,1) 
grow/VBP	(grow,1) (VBP,1) (root,1) (advcl,1) (VB,1) (write,1) 
place/NN	(NN,1) (root,1) (came,1) (nmod:upon,1) (VBD,1) (place,1) 
have/VB	(been,1) (VBN,1) (aux,1) (root,1) (have,1) (VB,1) 
came/VBD	(root,1) (came,1) (VBD,1) 
arm-chair/NN	(NN,1) (nmod:in,1) (root,1) (sat,1) (VBD,2) (conj:and,1) (said,1) (arm-chair,1) 
Prizes/NNPS	(NN,1) (root,1) (NNPS,1) (VBD,1) (led,1) (Prizes,1) (dobj,1) (way,1) (dep,1) 
at/IN	(advmod,1) (at,1) (IN,1) (root,1) ('s,1) (VBZ,1) 
-RSB-/VB	(VBN,1) (permitted,1) (concluded,1) (root,1) (VBD,1) (-RSB-,1) (parataxis,1) (conj:and,1) (VB,1) 
cried/VBN	(cried,1) (VBN,1) (root,1) 
neighbour/NN	(NN,1) (VBN,1) (root,1) (forgotten,1) (ask,1) (neighbour,1) (VB,1) (dobj,1) (xcomp,1) 
talk/VB	(JJ,1) (replied,1) (ready,1) (root,1) (VBD,1) (advcl,1) (talk,1) (VB,1) (xcomp,1) 
sha/VBP	(JJ,2) (sure,1) (ccomp,1) (VBP,1) (aux,1) (root,1) (able,1) (sha,1) 
dance/NN	(NN,1) (MD,1) (root,1) (Would,1) (join,1) (VB,1) (dobj,1) (dance,1) (dep,1) 
opening/VBG	(root,1) (VBG,1) (opening,1) 
on/IN	(IN,1) (root,1) (nmod,1) (VBD,1) (said,1) (on,1) 
When/WRB	(advmod,1) (VBN,2) (When,1) (permitted,1) (WRB,1) (root,1) (finished,1) (advcl,1) 
day/NN	(NN,1) (hours,1) (NNS,1) (root,1) (VBD,1) (said,1) (nsubj,1) (day,1) (dep,1) 
repeating/VBG	(NN,1) (use,1) (root,1) (repeating,1) (VBG,1) (acl,1) ('s,1) (nsubj,1) (VBZ,1) 
replied/VBD	(replied,1) (root,1) (VBD,1) 
were/VBD	(VBN,1) (were,1) (root,1) (auxpass,1) (VBD,1) (followed,1) 
Soup/NNP	(Soup,1) (Turtle,1) (NNP,2) (root,1) (VBG,1) (parataxis,1) (nsubj,1) (Waiting,1) 
our/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (replied,1) (root,1) (cat,1) (VBD,1) (parataxis,1) (our,1) 
enough/JJ	(JJ,1) (VBN,1) (answered,1) (root,1) (enough,1) (conj:and,1) 
shore/NN	(NN,1) (root,1) (shore,1) (VBD,1) (nmod:to,1) (led,1) 
pocket/NN	(NN,1) (VBN,1) (nmod:of,1) (root,1) (taken,1) (VBD,1) (parataxis,1) (said,1) (pocket,1) 
that/WDT	(NN,1) (that,1) (ref,1) (WDT,1) (root,1) (remark,1) 
Dormouse/NNP	(NN,1) (NNP,1) (root,1) (indignantly,1) (VBD,1) (said,1) (dobj,1) (compound,1) (Dormouse,1) 
had/VBD	(root,1) (VBD,1) (had,1) 
Gryphon/NNP	(NNP,1) (Gryphon,1) (root,1) (VBD,1) (said,1) (dep,1) 
finger/NN	(finger,1) (NN,1) (nmod:with,1) (root,1) (VBD,1) (pointing,1) (VBG,1) (advcl,1) (said,1) 
went/VBD	(went,1) (root,1) (VBD,1) 
the/DT	(NN,1) (the,1) (DT,1) (det,1) (root,1) (thing,1) 
ever/RB	(RB,1) (ever,1) (advmod,1) (root,1) (was,1) (VBD,1) 
come/VB	(NN,1) (deal,1) (root,1) (come,1) (acl,1) ('s,1) (nsubj,1) (VB,1) (VBZ,1) 
from/IN	(NN,1) (IN,1) (root,1) (was,1) (VBD,1) (from,1) (time,1) (nsubj,1) (case,1) 
had/VBN	(VBN,1) (root,1) (had,1) 
Owl/NNP	(NNP,1) (VBN,1) (permitted,1) (Owl,1) (nsubjpass,1) (root,1) 
questions/NNS	(NNS,1) (VBN,1) (answered,1) (root,1) (questions,1) (dobj,1) 
answer/NN	(NN,1) (answer,1) (root,1) (VBD,2) (reduced,1) (conj:and,1) (said,1) (dobj,1) 
